"filename", "language", "CSS", "TypeScript", "TypeScript JSX", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\store\features\identifyUploadSlice.ts", "TypeScript", 0, 58, 0, 0, 0, 2, 5, 65
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\store\features\modelSlice.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 4, 38
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\store\features\modelUploadSlice.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 5, 59
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\store\features\previewSlice.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 4, 38
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\store\index.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 3, 27
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\styles\degree.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 3, 25
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\styles\macro.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 7, 39
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\styles\measure.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\styles\themes.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 4, 60
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\types\api.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\utils\dateUtils.ts", "TypeScript", 0, 80, 0, 0, 0, 12, 4, 96
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\utils\keyUtils.ts", "TypeScript", 0, 14, 0, 0, 0, 2, 3, 19
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\utils\localStorageUtils.ts", "TypeScript", 0, 17, 0, 0, 0, 8, 3, 28
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\utils\userUtils.tsx", "TypeScript JSX", 0, 0, 90, 0, 0, 41, 9, 140
"c:\Users\Pionpill\Projects\Code\Collage\Collage-BacheiorThesis\app\front\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1, 2
"Total", "-", 15, 1511, 4561, 121, 2, 143, 491, 6844
